City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,hermanus,-34.4187,19.2345,67.8,82,0,11.97,ZA,1675818181
84,jamestown,42.097,-79.2353,46.04,76,100,14.97,US,1675818295
85,lebu,-37.6167,-73.65,58.98,89,0,16.93,CL,1675818296
86,leningradskiy,69.3833,178.4167,-23.98,96,100,4.97,RU,1675818107
87,qaanaaq,77.484,-69.3632,-24.83,67,7,6.31,GL,1675818296
88,kilindoni,-7.9139,39.6668,81.28,78,100,11.92,TZ,1675818296
89,grindavik,63.8424,-22.4338,26.55,100,75,29.93,IS,1675818297
90,saint george,37.1041,-113.5841,51.26,40,0,9.22,US,1675818059
91,beroroha,-21.6667,45.1667,71.58,89,100,3.49,MG,1675818297
92,ayan,56.45,138.1667,-20.56,68,19,8.28,RU,1675818297
93,khasan,42.4308,130.6434,25.12,47,0,16.04,RU,1675818297
94,bandarbeyla,9.4942,50.8122,77.14,74,98,15.9,SO,1675818298
95,waingapu,-9.6567,120.2641,82.81,78,39,10.33,ID,1675818298
96,anadyr,64.75,177.4833,-25.01,74,0,11.18,RU,1675818298
97,vardo,70.3705,31.1107,28.38,86,9,20.71,NO,1675818273
98,port-gentil,-0.7193,8.7815,80.51,80,76,8.68,GA,1675818057
99,tsuyama,35.05,134.0,45.43,73,77,4.9,JP,1675818299
100,victoria,22.2855,114.1577,64.96,87,97,8.99,HK,1675818299
101,aracoiaba da serra,-23.5053,-47.6142,72.86,94,45,5.03,BR,1675818299
102,portobelo,9.55,-79.65,75.11,86,98,17.52,PA,1675818300
103,lompoc,34.6391,-120.4579,65.01,79,40,6.91,US,1675818230
104,arraial do cabo,-22.9661,-42.0278,75.49,90,100,4.0,BR,1675818300
105,fez,34.0372,-4.9998,41.25,70,0,8.05,MA,1675818301
106,lasa,46.6166,10.7002,23.02,78,30,0.56,IT,1675818301
107,butaritari,3.0707,172.7902,81.01,80,100,21.72,KI,1675818246
108,biak,-0.9131,122.8766,78.3,80,100,5.03,ID,1675818306
109,aasiaat,68.7098,-52.8699,-21.06,94,99,4.68,GL,1675818233
110,yellowknife,62.456,-114.3525,-1.44,84,75,5.99,CA,1675818222
111,rockland,41.1668,-74.0496,39.79,78,100,1.01,US,1675818310
112,cidreira,-30.1811,-50.2056,75.76,79,26,13.06,BR,1675818316
113,sept-iles,50.2001,-66.3821,21.72,83,75,21.85,CA,1675818031
114,lata,40.1629,-8.3327,46.92,77,45,4.18,PT,1675818329
115,abnub,27.2696,31.1511,44.82,57,80,4.85,EG,1675818333
116,san patricio,28.017,-97.5169,74.16,79,100,16.11,US,1675818329
117,le port,-20.9373,55.2919,77.0,76,18,7.9,RE,1675818349
118,comodoro rivadavia,-45.8667,-67.5,71.46,33,0,8.05,AR,1675818350
119,celestun,20.8667,-90.4,79.75,67,65,7.52,MX,1675818351
120,dakar,14.6937,-17.4441,67.08,82,0,9.22,SN,1675818352
121,pingliang,35.5392,106.6861,32.94,97,100,4.18,CN,1675818352
122,saldanha,-33.0117,17.9442,62.65,89,0,15.03,ZA,1675818294
123,abadiania,-16.2042,-48.7069,72.52,92,30,3.24,BR,1675818352
124,andenes,69.3143,16.1194,37.38,81,40,28.77,NO,1675818353
125,baruun-urt,46.6806,113.2792,-3.21,89,4,6.58,MN,1675818115
126,raudeberg,61.9875,5.1352,43.47,75,69,33.02,NO,1675818353
127,dargaville,-35.9333,173.8833,72.39,57,48,9.98,NZ,1675818353
128,shelburne,44.0787,-80.2041,34.56,97,100,15.32,CA,1675818247
129,bethel,41.3712,-73.414,37.49,75,100,3.44,US,1675818176
130,three hills,51.7001,-113.2686,31.39,80,100,3.44,CA,1675818353
131,odweyne,9.4092,45.064,65.44,68,4,4.7,SO,1675818354
132,te anau,-45.4167,167.7167,57.7,44,48,11.39,NZ,1675818354
133,veydelevka,50.1521,38.4492,12.67,91,6,11.45,RU,1675818354
134,hambantota,6.1241,81.1185,75.54,100,20,6.91,LK,1675818355
135,alvorada,-12.48,-49.1247,72.18,90,94,2.42,BR,1675818355
136,namibe,-15.1961,12.1522,70.14,74,95,5.53,AO,1675818348
137,fukue,32.6881,128.8419,53.96,62,20,9.22,JP,1675818355
138,narrabri,-30.3167,149.7833,85.51,45,0,4.0,AU,1675818356
139,north platte,41.1239,-100.7654,35.38,81,0,5.01,US,1675818356
140,esperance,-33.8667,121.9,69.78,67,98,10.85,AU,1675818357
141,kharovsk,59.9642,40.1912,18.25,92,99,8.9,RU,1675818357
142,kavieng,-2.5744,150.7967,81.66,79,100,8.7,PG,1675818321
143,saint-pierre,-21.3393,55.4781,76.68,78,72,4.61,RE,1675818357
144,morondava,-20.2833,44.2833,76.44,87,100,6.04,MG,1675818357
145,mount pleasant,32.7941,-79.8626,60.01,81,100,0.0,US,1675818358
146,puerto escondido,15.85,-97.0667,81.43,65,20,0.0,MX,1675818358
147,hobyo,5.3505,48.5268,76.59,71,96,15.01,SO,1675818358
148,rajur,20.1167,78.9167,66.49,39,0,6.15,IN,1675818358
149,gat,31.61,34.7642,52.09,100,60,19.44,IL,1675818359
150,visnes,59.3556,5.2242,44.65,87,100,12.66,NO,1675818359
151,tessalit,20.1986,1.0114,71.82,15,66,7.45,ML,1675818300
152,adrar,20.5022,-10.0711,59.54,23,100,11.27,MR,1675818359
153,cordoba,-31.4135,-64.1811,87.76,61,0,5.75,AR,1675818310
